user	transaction date	sales amount	join date	region
94	January/02/2015	52.82	March/21/2008	C
588	January/02/2015	32.95	April/23/2009	H
72	January/02/2015	29.34	May/06/2008	G
16	January/02/2015	16.8	January/01/2001	B
126	January/02/2015	14.67	April/11/2005	I
44	January/02/2015	43.2	January/01/2001	B
41	January/02/2015	16.31	August/01/2009	B
728	January/02/2015	11.32	May/21/2013	M
1023	January/02/2015	78.85	April/12/2010	C
630	January/02/2015	12.62	March/20/2010	I
1663	January/02/2015	15.49	September/23/2011	C
1425	January/02/2015	53.03	May/22/2012	B
357	January/02/2015	16.31	January/09/2010	B
703	January/02/2015	20.17	May/02/2011	M
2010	January/02/2015	32.88	November/12/2002	B
2095	January/02/2015	26.5	December/11/2014	C
1819	January/02/2015	31.05	July/01/2013	B
764	January/02/2015	77.26	May/09/2013	I
2397	January/02/2015	32.07	January/02/2015	C
2095	January/02/2015	28.69	December/11/2014	C
4525	January/02/2015	49.02	January/02/2015	E
4670	January/02/2015	18.03	July/25/2013	G
4357	January/02/2015	58.82	July/25/2013	D
1756	January/02/2015	37.99	July/01/2013	G
3906	January/02/2015	8.11	July/01/2013	L
4206	January/02/2015	50.54	July/25/2013	I
3487	January/02/2015	31.39	July/02/2013	B
3168	January/02/2015	40.98	March/21/2014	D
5309	January/02/2015	39.34	March/21/2014	L
3238	January/02/2015	59.84	July/01/2013	Q
6449	January/02/2015	18.68	February/28/2007	B
5942	January/02/2015	28.98	February/10/2014	L
7209	January/02/2015	42.38	January/02/2015	B
7403	January/02/2015	46.56	January/02/2015	C
7364	January/02/2015	17.04	March/21/2014	C
5317	January/02/2015	68.98	April/03/2015	G
7823	January/02/2015	18.85	December/23/2014	S
7651	January/02/2015	12.14	January/02/2015	B
8972	January/02/2015	10.86	May/05/2007	B
9533	January/02/2015	44.14	September/30/2008	P
6439	January/02/2015	16.94	October/13/2014	C
556	January/03/2015	115.82	October/29/2008	I
22	January/03/2015	12.21	July/06/2005	B
269	January/03/2015	45.82	November/14/2013	C
979	January/03/2015	40.82	December/03/2011	B
998	January/03/2015	40.55	November/24/2010	B
1235	January/03/2015	2.98	April/29/2011	B
393	January/03/2015	2.13	April/19/2010	B
292	January/03/2015	265.49	January/03/2007	E
495	January/03/2015	10.38	October/02/2010	J
1015	January/03/2015	41.72	August/11/2010	I
15	January/03/2015	11.39	July/04/2010	G
295	January/03/2015	26.15	September/28/2011	B
2783	January/03/2015	33.14	January/03/2015	E
2506	January/03/2015	41.8	April/18/2014	D
834	January/03/2015	92.59	June/26/2013	H
2945	January/03/2015	21.72	June/16/2013	H
3156	January/03/2015	17.95	August/23/2012	M
1161	January/03/2015	67.24	January/03/2015	A
2397	January/03/2015	46.19	January/02/2015	C
3595	January/03/2015	11.39	October/25/2014	E
3981	January/03/2015	50.57	January/03/2015	J
1295	January/03/2015	24.84	October/13/2015	A
629	January/03/2015	57.17	July/02/2013	N
2713	January/03/2015	55.91	December/27/2014	K
2680	January/03/2015	130.12	September/17/2013	G
4449	January/03/2015	33.11	December/18/2013	G
2042	January/03/2015	8.43	July/01/2013	G
3077	January/03/2015	17.33	March/21/2014	G
4117	January/03/2015	69.77	July/01/2013	B
4230	January/03/2015	7.37	July/02/2013	G
5313	January/03/2015	40.48	November/28/2013	B
5165	January/03/2015	8.11	April/27/2014	E
4390	January/03/2015	5.74	September/17/2013	S
4625	January/03/2015	89.92	September/17/2013	H
6073	January/03/2015	13.86	October/04/2013	H
5868	January/03/2015	29.69	September/20/2014	P
5498	January/03/2015	65.0	October/24/2014	I
6199	January/03/2015	29.6	March/21/2014	P
5620	January/03/2015	19.02	April/16/2014	I
7489	January/03/2015	31.8	January/03/2015	B
6801	January/03/2015	43.67	February/10/2014	H
7514	January/03/2015	35.16	January/09/2014	G
6983	January/03/2015	33.94	April/27/2014	C
6444	January/03/2015	15.44	January/06/2015	G
7852	January/03/2015	25.41	December/16/2003	B
8465	January/03/2015	31.56	June/05/2012	F
37	January/04/2015	8.11	January/01/2001	B
250	January/04/2015	73.45	June/25/2009	B
717	January/04/2015	25.98	November/06/2011	M
321	January/04/2015	7.38	November/22/2010	B
1164	January/04/2015	15.16	October/11/2012	B
1648	January/04/2015	6.4	November/25/2009	B
99	January/04/2015	4.34	December/12/2010	B
1403	January/04/2015	2.46	February/01/2012	I
615	January/04/2015	44.92	September/30/2003	B
1111	January/04/2015	103.7	January/04/2015	B
2951	January/04/2015	60.7	January/04/2015	P
3574	January/04/2015	49.47	January/04/2015	I
629	January/04/2015	10.76	July/02/2013	N
2025	January/04/2015	29.18	May/22/2013	C
3099	January/04/2015	31.91	January/04/2015	B
3509	January/04/2015	26.97	June/08/2014	M
3698	January/04/2015	43.41	January/04/2015	A
629	January/04/2015	26.74	July/02/2013	N
2208	January/04/2015	15.82	July/01/2013	B
3744	January/04/2015	88.52	July/01/2013	S
2210	January/04/2015	12.12	June/27/2013	C
4879	January/04/2015	62.7	March/21/2014	E
4990	January/04/2015	50.06	November/04/2013	C
5362	January/04/2015	86.3	March/21/2014	H
5060	January/04/2015	0.82	September/02/2013	B
6260	January/04/2015	1.64	October/23/2007	O
5686	January/04/2015	43.03	September/02/2013	Q
7092	January/04/2015	9.67	February/10/2014	P
5725	January/04/2015	9.84	June/06/2003	N
7339	January/04/2015	59.02	April/19/2008	H
6567	January/04/2015	10.86	December/14/2014	C
9684	January/04/2015	10.73	October/09/2003	C
7207	January/04/2015	22.13	November/27/2006	L
299	January/05/2015	58.12	March/12/2007	C
7	January/05/2015	44.43	May/04/2009	C
452	January/05/2015	117.94	December/17/2008	B
169	January/05/2015	30.99	June/28/2007	G
317	January/05/2015	20.41	June/05/2009	H
522	January/05/2015	24.51	June/29/2010	D
43	January/05/2015	9.34	August/21/2002	B
258	January/05/2015	37.3	December/23/2005	B
253	January/05/2015	10.17	August/01/2009	B
25	January/05/2015	46.56	January/01/2001	B
954	January/05/2015	49.1	December/24/2013	H
155	January/05/2015	40.73	May/17/2008	I
336	January/05/2015	160.6	May/28/2010	N
99	January/05/2015	4.34	December/12/2010	B
2148	January/05/2015	101.97	January/05/2015	C
