user	transaction_date	sales_amount	join_date	region
257	01-01-2016	19.59	06-03-2008	B
307	02-01-2016	61.34	20-08-1999	B
378	02-01-2016	44.99	18-03-2004	B
253	02-01-2016	16.31	01-08-2009	B
4	02-01-2016	18.77	28-07-2011	B
1429	02-01-2016	22.78	10-08-2010	G
147	02-01-2016	8.11	24-06-2011	I
309	02-01-2016	51.97	04-02-2012	B
1781	02-01-2016	20.41	24-05-2013	C
289	02-01-2016	32.7	06-03-2012	C
1873	02-01-2016	47.21	22-12-2014	I
2852	02-01-2016	26.91	15-11-2012	E
1656	02-01-2016	22.8	01-07-2013	G
3297	02-01-2016	63.81	02-01-2016	B
3447	02-01-2016	68.3	02-01-2016	A
1627	02-01-2016	10.57	13-01-2015	I
3895	02-01-2016	65.03	02-01-2016	B
2600	02-01-2016	45.67	17-01-2015	A
4868	02-01-2016	126.48	14-12-2014	L
2566	02-01-2016	19.15	29-06-2013	D
3649	02-01-2016	13.46	19-11-2013	C
3803	02-01-2016	48.44	01-07-2013	L
3455	02-01-2016	36.69	25-07-2013	I
5788	02-01-2016	79.17	02-09-2013	H
4240	02-01-2016	17.69	07-08-2013	H
6335	02-01-2016	9.01	26-01-2015	E
5949	02-01-2016	18.68	18-12-2013	I
6608	02-01-2016	19.66	02-01-2016	S
5260	02-01-2016	20.0	03-12-2013	C
7223	02-01-2016	50.96	02-09-2013	M
6993	02-01-2016	49.1	28-11-2013	I
5351	02-01-2016	27.87	29-01-2014	F
7921	02-01-2016	55.17	09-06-2005	E
7923	02-01-2016	39.26	18-12-2014	H
6608	02-01-2016	8.13	02-01-2016	S
5728	02-01-2016	62.32	25-08-2003	C
8783	02-01-2016	8.11	05-08-2010	F
6755	02-01-2016	12.28	05-01-2015	C
191	03-01-2016	69.68	01-01-2001	B
706	03-01-2016	58.34	16-05-2012	D
1164	03-01-2016	69.96	11-10-2012	B
182	03-01-2016	53.43	03-04-2010	B
711	03-01-2016	66.21	06-04-2002	L
1568	03-01-2016	56.97	09-08-2012	B
2208	03-01-2016	52.71	01-07-2013	B
1985	03-01-2016	38.06	17-03-2012	I
2461	03-01-2016	36.0	12-11-2014	A
3878	03-01-2016	16.79	21-03-2014	C
2363	03-01-2016	31.58	28-11-2013	K
4618	03-01-2016	23.35	21-03-2014	C
5454	03-01-2016	53.2	21-08-2013	S
6065	03-01-2016	17.13	17-09-2014	C
6689	03-01-2016	15.15	03-01-2011	L
5024	03-01-2016	52.87	09-01-2014	F
6572	03-01-2016	111.67	23-06-2005	M
6744	03-01-2016	10.57	09-09-2003	G
6859	03-01-2016	52.74	26-04-2015	P
5213	03-01-2016	57.44	21-03-2014	C
6389	03-01-2016	31.13	03-01-2016	M
53	04-01-2016	37.3	23-03-2000	B
980	04-01-2016	35.98	15-07-2014	M
807	04-01-2016	8.16	14-02-2010	B
16	04-01-2016	2.38	01-01-2001	B
724	04-01-2016	78.61	25-10-2009	C
307	04-01-2016	30.67	20-08-1999	B
1285	04-01-2016	72.62	17-02-2000	B
1435	04-01-2016	107.03	05-06-2005	C
336	04-01-2016	7.31	28-05-2010	N
336	04-01-2016	66.33	28-05-2010	N
1285	04-01-2016	5.66	17-02-2000	B
1364	04-01-2016	17.13	06-08-2010	B
2599	04-01-2016	71.86	11-06-2015	E
2621	04-01-2016	16.39	30-05-2014	E
1272	04-01-2016	13.25	27-10-2012	B
3229	04-01-2016	15.49	01-07-2013	L
3303	04-01-2016	182.54	04-01-2016	I
3080	04-01-2016	56.29	04-01-2016	J
1761	04-01-2016	92.04	16-04-2008	C
3477	04-01-2016	5.73	17-09-2013	P
4752	04-01-2016	2.46	04-01-2016	C
4357	04-01-2016	53.04	25-07-2013	D
